Site #,Site,City,Prov,Prod,Rack Prov,Base Price,Excise Tax/ Fees,Prov Fuel Tax/ Fees,Fuel Price,G/HST,QST,In Tax Price,Total Cost
1832,IRVING 24 SUSSEX,SUSSEX,NB,DSL,NB,1.4603,0.04,0.1545,1.6548,0.2482,,1.903,1.903
5054,IRVING 24 ST JEAN CHRYSOSTOME,ST JEAN CHRYSOSTOME,QC,DSL,QC 1,1.5375,0.04,0.202,1.7795,,0.2665,2.046,2.046
1466,IRVING 24 MONCTON,MONCTON,NB,DSL,NB,1.4678,0.04,0.1545,1.6623,0.2493,,1.912,1.912
1043,IRVING 24 BATHURST,BATHURST,NB,DSL,NB,1.4954,0.04,0.1545,1.6899,0.2535,,1.943,1.943
15019,MURRAYS IRVING,BEARDSLEY,NB,DSL,NB,1.4504,0.04,0.1545,1.6449,0.2467,,1.892,1.892
2093,IRVING 24 BRIDGEWATER,BRIDGEWATER,NS,DSL,NS,1.5606,0.04,0.154,1.7546,0.2456,,2,2
6168,IRVING 24 ST STEPHEN,ST STEPHEN,NB,DSL,NB,1.4655,0.04,0.1545,1.66,0.249,,1.909,1.909
1988,AULAC IRVING BIG STOP,AULAC,NB,DSL,NB,1.4651,0.04,0.1545,1.6596,0.2489,,1.909,1.909
1722,IRVING 24 LANCASTER,SAINT JOHN,NB,DSL,NB,1.4539,0.04,0.1545,1.6484,0.2473,,1.896,1.896
2740,TRURO HEIGHTS IRVING BIG STOP,TRURO,NS,DSL,NS,1.4977,0.04,0.154,1.6917,0.2368,,1.929,1.929
3105,GOOBIES IRVING BIG STOP,GOOBIES,NL,DSL,NL,1.5957,0.04,0.095,1.7307,0.2596,,1.99,1.99
58231,YAMACHICHE I24,YAMACHICHE,QC,DSL,QC 1,1.5417,0.04,0.202,1.7837,,0.2671,2.051,2.051
17050,ST-CYRILLE IRVING BIG STOP,ST CYRILLE,QC,DSL,QC 1,1.5459,0.04,0.202,1.7879,,0.2677,2.056,2.056
50065,SAINT JEAN AUGUSTINE I24,SAINT AUGUSTIN DE DESMAURES,QC,DSL,QC 1,1.5374,0.04,0.202,1.7794,,0.2665,2.046,2.046
1169,IRVING 24 CHIPMAN,CHIPMAN,NB,DSL,NB,1.4703,0.04,0.1545,1.6648,0.2497,,1.915,1.915
2465,AULDS COVE IRVING BIG STOP,AULDS COVE,NS,DSL,NS,1.5752,0.04,0.154,1.7692,0.2477,,2.017,2.017
58237,SHAWINIGAN I24,SHAWINIGAN,QC,DSL,QC 1,1.5496,0.04,0.202,1.7916,,0.2683,2.06,2.06
58238,ANGE GARDIEN I24,ANGE GARDIEN,QC,DSL,QC 1,1.5432,0.04,0.202,1.7852,,0.2673,2.052,2.052
4011,IRVING 24 PARKDALE,CHARLOTTETOWN,PE,DSL,PE,1.5603,0.04,0.1415,1.7418,0.2613,,2.003,2.003
