Petro-Canada Petro-Pass Price (Canadian $/Litre)                Page:   1      ,,,,,,,  
            (As of: 2026-04-01)                    Created on: 2026-04-01      ,,,,,,,  
Account: 7089248298 - OBYR TRANSPORT INC.                                      ,,,,,,,  
Product: D1         - DIESEL - ULS                                             ,,,,,,,  
Region : "ALL"  Provinces: "ALL"                                               ,,,,,,,  
ABBOTSFORD                ,BC , 2.3206,0.0400,0.1500, 2.1306,         ,       ,  
BVD - KAMLOOPS WEST       , BC, 1.9403,0.0400,0.1500, 1.7503,         ,       ,  
CAMPBELL RIVER            , BC, 2.3594,0.0400,0.1500, 2.1694,         ,       ,  
CHILLIWACK                , BC, 2.3252,0.0400,0.1500, 2.1352,         ,       ,  
CHILLIWACK W-GREENDALE    , BC, 2.3231,0.0400,0.1500, 2.1331,         ,       ,  
COQUITLAM                 , BC, 2.4412,0.0400,0.2750, 2.1262,         ,       ,  
COURTENAY                 , BC, 2.3580,0.0400,0.1500, 2.1680,         ,       ,  
CRANBROOK                 , BC, 1.9154,0.0400,0.1500, 1.7254,         ,       ,  
DAWSON CREEK              , BC, 1.8777,0.0400,0.1500, 1.6877,         ,       ,  
DELTA                     , BC, 2.4428,0.0400,0.2750, 2.1278,         ,       ,  
DUNCAN                    , BC, 2.3512,0.0400,0.1500, 2.1612,         ,       ,  
FORT NELSON               , BC, 1.8740,0.0400,0.1500, 1.6840,         ,       ,  
FORT ST JOHN              , BC, 1.8633,0.0400,0.1500, 1.6733,         ,       ,  
GOLDEN                    , BC, 1.9077,0.0400,0.1500, 1.7177,         ,       ,  
GOLD RIVER    BC          ,   , 2.3880,0.0400,0.1500, 2.1980,         ,       ,  
GRAND FORKS               , BC, 1.9247,0.0400,0.1500, 1.7347,         ,       ,  
HOUSTON                   , BC, 1.9217,0.0400,0.1500, 1.7317,         ,       ,  
INVERMERE PPASS           , BC, 1.9086,0.0400,0.1500, 1.7186,         ,       ,  
KAMLOOPS-TCH EAST         , BC, 1.8848,0.0400,0.1500, 1.6948,         ,       ,  
KAMLOOPS-TCH WEST         , BC, 1.8848,0.0400,0.1500, 1.6948,         ,       ,  
KELOWNA-ACLAND RD         , BC, 1.9086,0.0400,0.1500, 1.7186,         ,       ,  
KELOWNA-WESTBANK          , BC, 1.9086,0.0400,0.1500, 1.7186,         ,       ,  
KITWANGA                  , BC, 1.9190,0.0400,0.1500, 1.7290,         ,       ,  
MACKENZIE                 , BC, 1.8780,0.0400,0.1500, 1.6880,         ,       ,  
MCL ALTAGAS REEF          , BC, 1.4040,0.0400,0.1500, 1.2140,         ,       ,  
MCL BLACKWATER COLD       , BC, 1.9260,0.0400,0.1500, 1.7360,         ,       ,  
MCL CAMPBELL RIVER TEMP PP, BC, 2.3509,0.0400,0.1500, 2.1609,         ,       ,  
MCL HUNTER CREEK CGL      , BC, 1.9825,0.0400,0.1500, 1.7925,         ,       ,  
MCL ROYAL CAMP MILE 109   , BC, 2.0250,0.0400,0.1500, 1.8350,         ,       ,  
MCL ROYAL CAMP MILE 147   , BC, 2.0938,0.0400,0.1500, 1.9038,         ,       ,  
MCL TCE - MT BRACEY       , BC, 1.9292,0.0400,0.1500, 1.7392,         ,       ,  
NAKUSP                    , BC, 1.9189,0.0400,0.1500, 1.7289,         ,       ,  
NANAIMO                   , BC, 2.3512,0.0400,0.1500, 2.1612,         ,       ,  
PENTICTON                 , BC, 1.9125,0.0400,0.1500, 1.7225,         ,       ,  
PRINCE GEORGE-GREAT ST    , BC, 1.8600,0.0400,0.1500, 1.6700,         ,       ,  
PRINCE GEORGE-HARTWAY     , BC, 1.8600,0.0400,0.1500, 1.6700,         ,       ,  
PRINCE RUPERT             ,B  , 1.9337,0.0400,0.1500, 1.7437,         ,       ,  
QUESNEL                   , BC, 1.8759,0.0400,0.1500, 1.6859,         ,       ,  
REVELSTOKE                , BC, 1.9125,0.0400,0.1500, 1.7225,         ,       ,  
SALMON ARM                , BC, 1.9076,0.0400,0.1500, 1.7176,         ,       ,  
SMITHERS                  , BC, 1.9148,0.0400,0.1500, 1.7248,         ,       ,  
SPARWOOD                  , BC, 1.9154,0.0400,0.1500, 1.7254,         ,       ,  
TERRACE                   , BC, 1.8940,0.0400,0.1500, 1.7040,         ,       ,  
THORNHILL/TERRACE PPASS   , BC, 1.8940,0.0400,0.1500, 1.7040,         ,       ,  
VANCOUVER                 , BC, 2.4420,0.0400,0.2750, 2.1270,         ,       ,  
VERNON                    , BC, 1.9017,0.0400,0.1500, 1.7117,         ,       ,  
WILLIAMS LAKE-COLLIER     , BC, 1.9224,0.0400,0.1500, 1.7324,         ,       ,  
WILLIAMS LAKE-GILL        , BC, 1.9224,0.0400,0.1500, 1.7324,         ,       ,  
  
WATSON LAKE               , YT, 1.6944,0.0400,0.0720, 1.5824,         ,       ,  
WHITEHORSE-ALASKA HWY     , YT, 1.7627,0.0400,0.0720, 1.6507,         ,       ,  
WHITEHORSE-GALENA RD      , YT, 1.7627,0.0400,0.0720, 1.6507,         ,       ,  
  
ENTERPRISE                , NT, 1.7731,0.0400,0.0910, 1.6421,         ,       ,  
YELLOWKNIFE               , NT, 1.7805,0.0400,0.0910, 1.6495,         ,       ,  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
Due to occasional market related price changes at individual Petro-Pass        ,,,,,,,  
locations the actual invoice price will take precedence over this price list.  ,,,,,,,  
                                                                               ,,,,,,,  
* Price = (Base Price excl. Tax) + (FET+FCT)+(UTT+PFT+CBN where applicable)    ,,,,,,,  
  
                                                                               ,,,,,,,  
