Petro-Canada Petro-Pass Price (Canadian $/Litre)                Page:   1      ,,,,,,,  
            (As of: 2026-04-05)                    Created on: 2026-04-05      ,,,,,,,  
Account: 7089248298 - OBYR TRANSPORT INC.                                      ,,,,,,,  
Product: D1         - DIESEL - ULS                                             ,,,,,,,  
Region : "ALL"  Provinces: "ALL"                                               ,,,,,,,  
ABBOTSFORD                ,BC , 2.4066,0.0400,0.1500, 2.2166,         ,       ,  
BVD - KAMLOOPS WEST       , BC, 2.0503,0.0400,0.1500, 1.8603,         ,       ,  
CAMPBELL RIVER            , BC, 2.4454,0.0400,0.1500, 2.2554,         ,       ,  
CHILLIWACK                , BC, 2.4112,0.0400,0.1500, 2.2212,         ,       ,  
CHILLIWACK W-GREENDALE    , BC, 2.4091,0.0400,0.1500, 2.2191,         ,       ,  
COQUITLAM                 , BC, 2.5272,0.0400,0.2750, 2.2122,         ,       ,  
COURTENAY                 , BC, 2.4440,0.0400,0.1500, 2.2540,         ,       ,  
CRANBROOK                 , BC, 2.0254,0.0400,0.1500, 1.8354,         ,       ,  
DAWSON CREEK              , BC, 1.9677,0.0400,0.1500, 1.7777,         ,       ,  
DELTA                     , BC, 2.5288,0.0400,0.2750, 2.2138,         ,       ,  
DUNCAN                    , BC, 2.4372,0.0400,0.1500, 2.2472,         ,       ,  
FORT NELSON               , BC, 1.9640,0.0400,0.1500, 1.7740,         ,       ,  
FORT ST JOHN              , BC, 1.9533,0.0400,0.1500, 1.7633,         ,       ,  
GOLDEN                    , BC, 2.0177,0.0400,0.1500, 1.8277,         ,       ,  
GOLD RIVER    BC          ,   , 2.4740,0.0400,0.1500, 2.2840,         ,       ,  
GRAND FORKS               , BC, 2.0347,0.0400,0.1500, 1.8447,         ,       ,  
HOUSTON                   , BC, 2.0117,0.0400,0.1500, 1.8217,         ,       ,  
INVERMERE PPASS           , BC, 2.0186,0.0400,0.1500, 1.8286,         ,       ,  
KAMLOOPS-TCH EAST         , BC, 1.9948,0.0400,0.1500, 1.8048,         ,       ,  
KAMLOOPS-TCH WEST         , BC, 1.9948,0.0400,0.1500, 1.8048,         ,       ,  
KELOWNA-ACLAND RD         , BC, 2.0186,0.0400,0.1500, 1.8286,         ,       ,  
KELOWNA-WESTBANK          , BC, 2.0186,0.0400,0.1500, 1.8286,         ,       ,  
KITWANGA                  , BC, 2.0090,0.0400,0.1500, 1.8190,         ,       ,  
MACKENZIE                 , BC, 1.9680,0.0400,0.1500, 1.7780,         ,       ,  
MCL ALTAGAS REEF          , BC, 1.4040,0.0400,0.1500, 1.2140,         ,       ,  
MCL BLACKWATER COLD       , BC, 2.0160,0.0400,0.1500, 1.8260,         ,       ,  
MCL CAMPBELL RIVER TEMP PP, BC, 2.4629,0.0400,0.1500, 2.2729,         ,       ,  
MCL HUNTER CREEK CGL      , BC, 2.0725,0.0400,0.1500, 1.8825,         ,       ,  
MCL ROYAL CAMP MILE 109   , BC, 2.1150,0.0400,0.1500, 1.9250,         ,       ,  
MCL ROYAL CAMP MILE 147   , BC, 2.1838,0.0400,0.1500, 1.9938,         ,       ,  
MCL TCE - MT BRACEY       , BC, 2.0192,0.0400,0.1500, 1.8292,         ,       ,  
NAKUSP                    , BC, 2.0289,0.0400,0.1500, 1.8389,         ,       ,  
NANAIMO                   , BC, 2.4372,0.0400,0.1500, 2.2472,         ,       ,  
PENTICTON                 , BC, 2.0225,0.0400,0.1500, 1.8325,         ,       ,  
PRINCE GEORGE-GREAT ST    , BC, 1.9500,0.0400,0.1500, 1.7600,         ,       ,  
PRINCE GEORGE-HARTWAY     , BC, 1.9500,0.0400,0.1500, 1.7600,         ,       ,  
PRINCE RUPERT             ,B  , 2.0237,0.0400,0.1500, 1.8337,         ,       ,  
QUESNEL                   , BC, 1.9659,0.0400,0.1500, 1.7759,         ,       ,  
REVELSTOKE                , BC, 2.0225,0.0400,0.1500, 1.8325,         ,       ,  
SALMON ARM                , BC, 2.0176,0.0400,0.1500, 1.8276,         ,       ,  
SMITHERS                  , BC, 2.0048,0.0400,0.1500, 1.8148,         ,       ,  
SPARWOOD                  , BC, 2.0254,0.0400,0.1500, 1.8354,         ,       ,  
TERRACE                   , BC, 1.9840,0.0400,0.1500, 1.7940,         ,       ,  
THORNHILL/TERRACE PPASS   , BC, 1.9840,0.0400,0.1500, 1.7940,         ,       ,  
VANCOUVER                 , BC, 2.5280,0.0400,0.2750, 2.2130,         ,       ,  
VERNON                    , BC, 2.0117,0.0400,0.1500, 1.8217,         ,       ,  
WILLIAMS LAKE-COLLIER     , BC, 2.0324,0.0400,0.1500, 1.8424,         ,       ,  
WILLIAMS LAKE-GILL        , BC, 2.0324,0.0400,0.1500, 1.8424,         ,       ,  
  
WATSON LAKE               , YT, 1.7844,0.0400,0.0720, 1.6724,         ,       ,  
WHITEHORSE-ALASKA HWY     , YT, 1.8527,0.0400,0.0720, 1.7407,         ,       ,  
WHITEHORSE-GALENA RD      , YT, 1.8527,0.0400,0.0720, 1.7407,         ,       ,  
  
ENTERPRISE                , NT, 1.8631,0.0400,0.0910, 1.7321,         ,       ,  
YELLOWKNIFE               , NT, 1.8705,0.0400,0.0910, 1.7395,         ,       ,  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
Due to occasional market related price changes at individual Petro-Pass        ,,,,,,,  
locations the actual invoice price will take precedence over this price list.  ,,,,,,,  
                                                                               ,,,,,,,  
* Price = (Base Price excl. Tax) + (FET+FCT)+(UTT+PFT+CBN where applicable)    ,,,,,,,  
  
                                                                               ,,,,,,,  
