Petro-Canada Petro-Pass Price (Canadian $/Litre)                Page:   1      ,,,,,,,  
            (As of: 2026-04-02)                    Created on: 2026-04-02      ,,,,,,,  
Account: 7089248298 - OBYR TRANSPORT INC.                                      ,,,,,,,  
Product: D1         - DIESEL - ULS                                             ,,,,,,,  
Region : "ALL"  Provinces: "ALL"                                               ,,,,,,,  
                          ,   ,PRICE* ,      , CBN+ ,BASE   ,         ,       ,  
                          ,   ,EXCL.  , FCT+ , PFT+ ,PRICE  ,         ,       ,  
                          ,   ,GST/HST,  FET , UTT  ,EXCL.  ,         ,       ,  
SITE NAME                 ,Prv,PST $/L,  $/L , $/L  ,TAX $/L,         ,       ,  
--------------------------,---,-------,------,------,-------,         ,       ,  
LONDON-WILTON GROVE       , ON, 1.7691,0.0400,0.0900, 1.6391,         ,       ,  
MILTON                    , ON, 1.7860,0.0400,0.0900, 1.6560,         ,       ,  
MISSISSAUGA-ATLANTIC      , ON, 1.7805,0.0400,0.0900, 1.6505,         ,       ,  
MISSISSAUGA-DIXIE&DREW    , ON, 1.7813,0.0400,0.0900, 1.6513,         ,       ,  
MOUNT FOREST              , ON, 1.7814,0.0400,0.0900, 1.6514,         ,       ,  
NEW LISKEARD              , ON, 1.8650,0.0400,0.0900, 1.7350,         ,       ,  
NEWMARKET                 , ON, 1.7950,0.0400,0.0900, 1.6650,         ,       ,  
NIAGARA FALLS             , ON, 1.8039,0.0400,0.0900, 1.6739,         ,       ,  
NORTH BAY-HWY 11          , ON, 1.8113,0.0400,0.0900, 1.6813,         ,       ,  
NORTH YORK-STEELES        , ON, 1.7900,0.0400,0.0900, 1.6600,         ,       ,  
NORWICH                   , ON, 1.7779,0.0400,0.0900, 1.6479,         ,       ,  
ORANGEVILLE               , ON, 1.8010,0.0400,0.0900, 1.6710,         ,       ,  
ORILLIA PETRO PASS        , ON, 1.8012,0.0400,0.0900, 1.6712,         ,       ,  
ORONO                     , ON, 1.7966,0.0400,0.0900, 1.6666,         ,       ,  
OSHAWA                    , ON, 1.8010,0.0400,0.0900, 1.6710,         ,       ,  
OTTAWA-GLOUCESTER         , ON, 1.8310,0.0400,0.0900, 1.7010,         ,       ,  
OTTAWA-NEPEAN             , ON, 1.8342,0.0400,0.0900, 1.7042,         ,       ,  
OWEN SOUND                , ON, 1.8045,0.0400,0.0900, 1.6745,         ,       ,  
PETERBOROUGH  (22718)     , ON, 1.8070,0.0400,0.0900, 1.6770,         ,       ,  
PICKERING                 , ON, 1.7947,0.0400,0.0900, 1.6647,         ,       ,  
RED LAKE                  , ON, 1.7334,0.0400,0.0900, 1.6034,         ,       ,  
REXDALE                   , ON, 1.7828,0.0400,0.0900, 1.6528,         ,       ,  
SARNIA                    , ON, 1.7720,0.0400,0.0900, 1.6420,         ,       ,  
SIMCOE                    , ON, 1.7960,0.0400,0.0900, 1.6660,         ,       ,  
SIOUX LOOKOUT             , ON, 1.6734,0.0400,0.0900, 1.5434,         ,       ,  
